district,year,loss_ha
Serenje,2008,4417.055014408893
Chililabombwe,2008,125.54092156326594
Chingola,2008,152.72255587852328
Kalulushi,2008,338.2208538017244
Kitwe,2008,169.07277102081898
Luanshya,2008,113.18742718278472
Lufwanyama,2008,1421.5363823431996
Masaiti,2008,215.57024449776443
Mpongwe,2008,580.0462968344774
Mufulira,2008,118.00452528767903
Ndola,2008,194.17860511606253
Chadiza,2008,392.70535957857015
Chama,2008,1092.584857238626
Chipata,2008,1022.8953255395747
Katete,2008,323.2553799240292
Lundazi,2008,1437.4839247429823
Mambwe,2008,661.8430323186178
Nyimba,2008,264.677038812926
Petauke,2008,451.1814194980037
Chienge,2008,1601.0489262055282
Kawambwa,2008,1287.8457884932213
Mansa,2008,662.7105867806948
Milenge,2008,456.6133007229196
Mwense,2008,697.5126664487591
Nchelenge,2008,824.2557374238855
Samfya,2008,1474.2306420217476
Chongwe,2008,574.1045257470703
Kafue,2008,208.33790314244885
Luangwa,2008,248.8012664794922
Lusaka,2008,5.106391981368719
Kabompo,2008,1871.9627867472332
Kasempa,2008,1033.91478053024
Mufumbwe,2008,627.2790278910797
Mwinilunga,2008,2254.076103823409
Solwezi,2008,2558.06101231632
Chilubi,2008,1838.4848349052638
Chinsali,2008,1229.312092189343
Isoka,2008,590.6315465805233
Kaputa,2008,1355.423468435705
Kasama,2008,1930.9116338338933
Luwingu,2008,1417.4032104641065
Mbala,2008,527.5378552478027
Mpika,2008,3705.260615374445
Mporokoso,2008,1583.54637088714
Mpulungu,2008,857.0944265589096
Mungwi,2008,459.56405739248237
Nakonde,2008,53.02286754959405
Choma,2008,83.88476479939779
Gwembe,2008,82.0202718884756
Itezhi-tezhi,2008,385.5130234372128
Kalomo,2008,73.78573425292969
Kazungula,2008,67.97432520019531
Livingstone,2008,0.08526318359375
Mazabuka,2008,44.23313848953546
Monze,2008,23.466181908198337
Namwala,2008,9.63019686279297
Siavonga,2008,155.44492839934705
Sinazongwe,2008,210.71672574951174
Kaoma,2008,2778.1774550927257
Mongu,2008,284.78745792267443
Sesheke,2008,1157.1257307104493
Chavuma,2008,630.0508691254022
Zambezi,2008,2258.7241626498594
