,district,year,total_pop,urban_pop,pct_urban
728,Kawambwa,2007,85514.0859375,3157.291259765625,0.03692130045187183
729,Lunga,2007,25239.357421875,0.0,0.0
730,Mansa,2007,158771.265625,0.0,0.0
731,Milengi,2007,63050.9296875,0.0,0.0
732,Mwansabombwe,2007,48299.38671875,845.9917602539062,0.017515579756326165
733,Mwense,2007,86173.2890625,898.7825317382812,0.010429943449024091
734,Nchelenge,2007,147805.09375,1806.656494140625,0.012223235670053657
735,Samfya,2007,85959.9375,0.0,0.0
736,Chilanga,2007,173253.5625,1243.2408447265625,0.007175845776484755
737,Chirundu,2007,33256.67578125,0.0,0.0
738,Chongwe,2007,170893.5625,35740.30859375,0.20913782866308964
739,Kafue,2007,108882.0859375,7138.56787109375,0.0655623724474878
740,Luangwa,2007,22861.00390625,112.8580551147461,0.00493670599845756
741,Lusaka,2007,1322965.125,848179.6875,0.6411202166043493
742,Rufunsa,2007,49321.46875,5.2141852378845215,0.00010571836910036305
743,Shibuyunji,2007,48924.90234375,0.0,0.0
744,Chama,2007,92911.9765625,0.0,0.0
745,Chinsali,2007,89194.28125,0.0,0.0
746,Isoka,2007,67344.3359375,0.0,0.0
747,Kanchibiya,2007,56198.421875,36.90361022949219,0.0006566663083809627
748,Lavushimanda,2007,32530.8359375,5.178372383117676,0.00015918350186471214
749,Mafinga,2007,63415.7890625,0.0,0.0
750,Mpika,2007,103950.296875,1329.060546875,0.01278553873177671
751,Nakonde,2007,104434.015625,1994.7796630859375,0.019100861449671346
752,Shiwamg'andu,2007,59937.859375,0.0,0.0
753,Chavuma,2007,33693.375,114.29358673095703,0.0033921679478816544
754,Ikelenge,2007,29682.55859375,71.37789916992188,0.0024047084399574405
755,Kabompo,2007,40625.98828125,0.0,0.0
756,Kalumbila,2007,58257.59375,0.0,0.0
757,Kasempa,2007,67980.1328125,187.60740661621094,0.00275973874799071
758,Manyinga,2007,45187.46875,0.0,0.0
759,Mufumbwe,2007,54869.8515625,2.9517955780029297,5.37963106140475e-05
760,Mushindano,2007,23285.388671875,0.0,0.0
761,Mwinilunga,2007,96763.921875,363.3859558105469,0.0037553868091453574
762,Solwezi,2007,154556.796875,7692.79541015625,0.04977325854118151
763,Zambezi,2007,76196.8671875,26.7631893157959,0.00035123739733208305
764,Chilubi,2007,87183.3125,70.46986389160156,0.0008082953247687344
765,Kaputa,2007,60995.87109375,776.2490234375,0.01272625522872546
766,Kasama,2007,224396.359375,890.2313842773438,0.003967227395118445
767,Lunte District,2007,56011.67578125,62.606475830078125,0.0011177397383106997
