district,year,mean_start_day,start_date
Kasama,2005,336.21875,December 02
Lunte District,2005,312.81052631578945,November 08
Lupososhi,2005,330.60869565217394,November 26
Luwingu,2005,329.2631578947368,November 25
Mbala,2005,311.07894736842104,November 07
Mporokoso,2005,300.531914893617,October 27
Mpulungu,2005,309.520325203252,November 05
Mungwi,2005,346.5826086956522,December 12
Nsama,2005,303.7032967032967,October 30
Senga Hill,2005,328.2931034482759,November 24
Chikankanta,2005,333.5833333333333,November 29
Choma,2005,332.5254237288136,November 28
Gwembe,2005,333.0,November 29
Kalomo,2005,332.24,November 28
Kazungula,2005,318.61607142857144,November 14
Livingstone,2005,316.0,November 12
Mazabuka,2005,332.2391304347826,November 28
Monze,2005,332.18333333333334,November 28
Namwala,2005,323.7575757575757,November 19
Pemba,2005,332.48,November 28
Siavonga,2005,333.0869565217391,November 29
Sinazongwe,2005,333.78688524590166,November 29
Zimba,2005,332.6268656716418,November 28
Kalabo,2005,314.4406779661017,November 10
Kaoma,2005,312.6727272727273,November 08
Limulunga,2005,313.3636363636364,November 09
Luampa,2005,313.1666666666667,November 09
Lukulu,2005,312.1880341880342,November 08
Mitete,2005,313.14473684210526,November 09
Mongu,2005,313.94666666666666,November 09
Mulobezi,2005,314.0,November 10
Mwandi,2005,314.1038961038961,November 10
Nalolo,2005,314.7457627118644,November 10
Nkeyema,2005,313.0,November 09
Senanga,2005,314.23664122137404,November 10
Sesheke,2005,314.61870503597123,November 10
