district,year,mean_start_day
Lupososhi,2011,340.17391304347825
Luwingu,2011,342.50877192982455
Mbala,2011,342.8157894736842
Mporokoso,2011,337.0425531914894
Mpulungu,2011,339.4227642276423
Mungwi,2011,348.9826086956522
Nsama,2011,336.74725274725273
Senga Hill,2011,347.12068965517244
Chikankanta,2011,348.5
Choma,2011,340.76271186440675
Gwembe,2011,348.75
Kalomo,2011,340.26
Kazungula,2011,283.1607142857143
Livingstone,2011,65.22222222222223
Mazabuka,2011,342.4347826086956
Monze,2011,341.6
Namwala,2011,339.1818181818182
Pemba,2011,342.64
Siavonga,2011,349.1304347826087
Sinazongwe,2011,321.6393442622951
Zimba,2011,282.3134328358209
Kalabo,2011,329.364406779661
Kaoma,2011,332.4818181818182
Limulunga,2011,331.9318181818182
Luampa,2011,337.6825396825397
Lukulu,2011,320.3247863247863
Mitete,2011,310.9342105263158
Mongu,2011,336.62666666666667
Mulobezi,2011,338.35333333333335
Mwandi,2011,319.61038961038963
Nalolo,2011,336.864406779661
Nkeyema,2011,337.9111111111111
Senanga,2011,337.9618320610687
Sesheke,2011,332.48201438848923
Shang'ombo,2011,337.1958762886598
Sikongo,2011,335.3152173913044
Sioma,2011,338.15
Chibombo,2012,308.2090909090909
Chisamba,2012,308.7936507936508
Chitambo,2012,313.2957746478873
Itezhi-tezhi,2012,311.9191919191919
Kabwe,2012,309.55555555555554
Kapiri Mposhi,2012,309.77064220183485
Luano,2012,315.0
Mkushi,2012,310.56
Mumbwa,2012,307.6033755274262
Ngabwe,2012,309.4125
Serenje,2012,311.7851851851852
Chililabombwe,2012,313.0
Chingola,2012,312.76190476190476
Kalulushi,2012,313.0
Kitwe,2012,313.0
Luanshya,2012,311.44444444444446
Lufwanyama,2012,312.2480620155039
Masaiti,2012,310.75
Mpongwe,2012,309.5892857142857
Mufulira,2012,313.0
Ndola,2012,311.9230769230769
Chadiza,2012,310.3125
Chasefu,2012,321.61538461538464
Chipangali,2012,314.80645161290323
Chipata,2012,311.85
Kasenengwa,2012,311.59090909090907
Katete,2012,310.73333333333335
Lumezi,2012,315.60655737704917
Lundazi,2012,317.0
Mambwe,2012,313.9154929577465
Nyimba,2012,314.2992125984252
Petauke,2012,311.0
Sinda,2012,310.1212121212121
Vubwi,2012,310.54545454545456
Chembe,2012,313.0
Chiengi,2012,293.0
Chifunabuli,2012,313.0
Chipili,2012,311.64150943396226
Kawambwa,2012,297.4468085106383
Lunga,2012,312.90697674418607
Mansa,2012,313.0
Milengi,2012,312.92
Mwansabombwe,2012,293.0
Mwense,2012,308.7692307692308
Nchelenge,2012,292.9591836734694
Samfya,2012,312.9
Chilanga,2012,307.1764705882353
Chirundu,2012,335.0
Chongwe,2012,313.7857142857143
Kafue,2012,324.1929824561403
Luangwa,2012,336.8541666666667
Lusaka,2012,308.0
Rufunsa,2012,335.16521739130434
Shibuyunji,2012,307.0
Chama,2012,324.2830188679245
Chinsali,2012,317.12820512820514
Isoka,2012,324.7258064516129
Kanchibiya,2012,317.6116504854369
Lavushimanda,2012,313.5433526011561
Mafinga,2012,324.48936170212767
Mpika,2012,318.0485436893204
Nakonde,2012,323.62745098039215
Shiwamg'andu,2012,313.7155963302752
Chavuma,2012,292.3888888888889
Ikelenge,2012,289.1666666666667
Kabompo,2012,312.2705882352941
Kalumbila,2012,295.3312101910828
Kasempa,2012,302.42641509433963
Manyinga,2012,303.23655913978496
Mufumbwe,2012,309.13004484304935
Mushindano,2012,304.0175438596491
Mwinilunga,2012,291.79638009049773
Solwezi,2012,296.23809523809524
Zambezi,2012,300.03550295857985
Chilubi,2012,313.0
Kaputa,2012,294.0483870967742
Kasama,2012,313.390625
Lunte District,2012,311.4736842105263
Lupososhi,2012,312.9782608695652
Luwingu,2012,313.0175438596491
Mbala,2012,323.63157894736844
Mporokoso,2012,293.82978723404256
Mpulungu,2012,320.4634146341463
Mungwi,2012,317.0695652173913
Nsama,2012,303.15384615384613
Senga Hill,2012,322.5689655172414
Chikankanta,2012,327.94444444444446
Choma,2012,318.8474576271187
Gwembe,2012,335.625
Kalomo,2012,307.4
Kazungula,2012,321.11160714285717
Livingstone,2012,334.77777777777777
Mazabuka,2012,313.82608695652175
Monze,2012,316.45
Namwala,2012,306.27272727272725
Pemba,2012,334.24
Siavonga,2012,335.2608695652174
Sinazongwe,2012,335.1967213114754
Zimba,2012,327.76119402985074
Kalabo,2012,318.02542372881356
Kaoma,2012,311.3272727272727
