district,year,forest_cover_ha,loss_m2,percent_loss_annual
Nakonde,2011,4891.4575252356435,14108.457641601562,0.028834737769000425
Nakonde,2012,4855.345655494193,361118.6974145029,0.7382639950392009
Nakonde,2013,4827.70374611869,276419.0937550264,0.5693087853430933
Nakonde,2014,4795.499008728553,322047.3739013672,0.667081889936354
Nakonde,2015,4778.794627810225,167043.8091832778,0.3483345713954525
Nakonde,2016,4751.4914867681755,273031.4104204963,0.5713394939208902
Nakonde,2017,4676.817899117431,746735.8765074487,1.5715820571013093
Nakonde,2018,4595.569141283509,812487.5783392214,1.737265798808517
Nakonde,2019,4475.825689761987,1197434.5152152267,2.6056283311206845
Nakonde,2020,4410.513639445872,653120.5031611423,1.4592179151549436
Nakonde,2021,4355.058950378777,554546.8906709559,1.2573294994744149
Nakonde,2022,4259.542596400745,955163.5397803211,2.1932275789223166
Namwala,2001,1877.1720535050456,19015.803291829427,0.10119775483746155
Namwala,2002,1857.644442701823,195276.10803222656,1.0402675006140651
Namwala,2003,1835.368970723063,222754.71978759766,1.1991246261508226
Namwala,2004,1829.0915875931803,62773.831298828125,0.3420229517888041
Namwala,2005,1817.045036110026,120465.51483154297,0.6586084351853487
Namwala,2006,1813.947987672526,30970.484375,0.17044423093278063
Namwala,2007,1813.1736825882974,7743.050842285156,0.042686178958307695
Namwala,2008,1803.5434857255045,96301.96862792969,0.5311237944423451
Namwala,2009,1792.875419868571,106680.65856933594,0.5915058850184691
Namwala,2010,1732.0899183896292,607855.0147894167,3.390391814474072
Namwala,2011,1731.573590520977,5163.2786865234375,0.02980953027729575
Namwala,2012,1730.3701956296195,12033.948913574219,0.06949718440758602
Namwala,2013,1729.0784975949514,12916.980346679688,0.0746486525213159
Namwala,2014,1727.2713424374808,18071.55157470703,0.10451550695843778
Namwala,2015,1725.8092602353324,14620.822021484375,0.08464693220030993
Namwala,2016,1725.0347598141898,7745.004211425781,0.044877521461263156
Namwala,2017,1719.698210882305,53365.489318847656,0.3093589216984582
Namwala,2018,1715.7417377194631,39564.73162841797,0.23006787689869704
Namwala,2019,1711.9564704221,37852.67297363281,0.22061987618221604
Namwala,2020,1700.5143180417288,114421.52380371094,0.6683670162215
Namwala,2021,1686.9282950680004,135860.22973728552,0.7989361118331475
Namwala,2022,1682.1126659603342,48156.291076660156,0.2854673267230897
Nchelenge,2001,143797.53703996915,1333560.7907358205,0.09265285317397814
Nchelenge,2002,141911.53115005582,18860058.899133302,1.3115703709091395
Nchelenge,2003,140986.18286933718,9253482.80718635,0.6520599652611605
Nchelenge,2004,140212.59815694037,7735847.123968147,0.5486954087648117
Nchelenge,2005,139456.7838742856,7558142.82654766,0.5390487677924496
Nchelenge,2006,139096.45203959878,3603318.346868298,0.25838243553046064
Nchelenge,2007,136747.45845342535,23489935.86173407,1.6887516192754377
Nchelenge,2008,135923.20271600145,8242557.374238856,0.6027576283654426
Nchelenge,2009,132415.21224990493,35079904.660965264,2.580862130968277
Nchelenge,2010,124517.97186940629,78972403.80498645,5.963997826469001
Nchelenge,2011,124213.89985849576,3040720.109105249,0.24419929617022174
Nchelenge,2012,121979.26348211212,22346363.76383631,1.7990227977137216
Nchelenge,2013,120759.70211749776,12195613.646143775,0.9998104020305241
Nchelenge,2014,119733.38616451898,10263159.52978779,0.849882812711964
Nchelenge,2015,119102.03033041363,6313558.341053443,0.5273014105170578
Nchelenge,2016,117929.82712706934,11722032.033442957,0.9842008571074414
Nchelenge,2017,116636.8032916164,12930238.35452929,1.0964349452150866
