district,year,mean_start_day,start_date,mean_growing_period,mean_end_day,end_date
Chipata,2018,331.0,November 27,169.4,500.4,May 15
Chipata,2019,346.0,December 12,157.05,503.05,May 17
Chipata,2020,338.0,December 04,167.6,505.6,May 19
Chipata,2021,351.95,December 17,121.55,473.5,April 18
Chipili,2000,308.4339622641509,November 04,190.1509433962264,498.58490566037733,May 12
Chipili,2001,305.3207547169811,November 01,185.9056603773585,491.2264150943396,May 06
Chipili,2002,309.7735849056604,November 05,192.18867924528303,501.96226415094344,May 16
Chipili,2003,318.8301886792453,November 14,176.28301886792454,495.11320754716985,May 09
Chipili,2004,303.35849056603774,October 30,201.60377358490567,504.9622641509434,May 18
Chipili,2005,326.8490566037736,November 22,165.0188679245283,491.8679245283019,May 06
Chipili,2006,309.37735849056605,November 05,195.58490566037736,504.9622641509434,May 19
Chipili,2007,299.0943396226415,October 26,205.9056603773585,505.0,May 19
Chipili,2008,297.0566037735849,October 24,194.2075471698113,491.2641509433962,May 05
Chipili,2009,306.1320754716981,November 02,197.0,503.1320754716981,May 18
Chipili,2010,312.6981132075472,November 08,183.50943396226413,496.2075471698113,May 11
Chipili,2011,338.0188679245283,December 04,158.18867924528303,496.20754716981133,May 10
Chipili,2012,311.64150943396226,November 07,198.96226415094333,510.6037735849056,May 24
Chipili,2013,298.0,October 25,198.9433962264151,496.9433962264151,May 11
Chipili,2014,324.7735849056604,November 20,168.88679245283018,493.66037735849056,May 08
Chipili,2015,324.49056603773585,November 20,176.9433962264151,501.433962264151,May 15
Chipili,2016,322.0,November 18,185.71698113207543,507.71698113207543,May 21
Chipili,2017,323.7169811320755,November 19,169.49056603773585,493.20754716981133,May 08
Chipili,2018,300.4339622641509,October 27,199.3018867924528,499.7358490566037,May 14
Chipili,2019,343.9622641509434,December 09,162.37735849056602,506.33962264150944,May 20
Chipili,2020,316.35849056603774,November 12,196.50943396226413,512.8679245283018,May 26
Chipili,2021,323.0,November 19,166.9056603773585,489.90566037735846,May 04
Chirundu,2000,319.5,November 15,171.0909090909091,490.5909090909091,May 04
Chirundu,2001,322.0,November 18,157.45454545454547,479.4545454545455,April 24
Chirundu,2002,347.8636363636364,December 13,79.31818181818181,427.1818181818182,March 03
Chirundu,2003,334.0,November 30,148.54545454545453,482.5454545454545,April 26
Chirundu,2004,331.0,November 27,152.5,483.5,April 27
Chirundu,2005,333.77272727272725,November 29,106.4090909090909,440.18181818181813,March 16
Chirundu,2006,344.5,December 10,135.36363636363637,479.8636363636364,April 24
Chirundu,2007,317.27272727272725,November 13,135.9090909090909,453.18181818181813,March 28
Chirundu,2008,323.95454545454544,November 19,152.3181818181818,476.27272727272725,April 20
Chirundu,2009,317.77272727272725,November 13,151.22727272727272,469.0,April 14
Chirundu,2010,328.0,November 24,149.72727272727272,477.72727272727275,April 22
Chirundu,2011,349.54545454545456,December 15,103.5909090909091,453.1363636363636,March 28
Chirundu,2012,335.0,December 01,141.0909090909091,476.0909090909091,April 20
Chirundu,2013,338.45454545454544,December 04,132.3181818181818,470.77272727272725,April 15
Chirundu,2014,310.59090909090907,November 06,158.5909090909091,469.18181818181813,April 14
Chirundu,2015,323.0,November 19,145.77272727272728,468.77272727272725,April 12
Chirundu,2016,328.90909090909093,November 24,146.5,475.40909090909093,April 19
Chirundu,2017,331.0,November 27,145.86363636363637,476.8636363636364,April 21
Chirundu,2018,335.0,December 01,154.8181818181818,489.8181818181818,May 04
Chirundu,2019,3.0,January 03,104.5909090909091,107.5909090909091,April 17
Chirundu,2020,20.863636363636363,January 20,91.54545454545456,112.40909090909092,April 21
Chirundu,2021,325.8636363636364,November 21,136.0909090909091,461.9545454545455,April 06
Chisamba,2000,309.9047619047619,November 05,173.61904761904762,483.5238095238095,April 27
Chisamba,2001,321.73015873015873,November 17,156.84126984126985,478.57142857142856,April 23
Chisamba,2002,345.1428571428572,December 11,103.41269841269842,448.55555555555566,March 24
Chisamba,2003,331.95238095238096,November 27,152.88888888888889,484.8412698412699,April 28
Chisamba,2004,323.73015873015873,November 19,154.984126984127,478.7142857142857,April 22
Chisamba,2005,333.95238095238096,November 29,111.3015873015873,445.25396825396825,March 21
Chisamba,2006,321.984126984127,November 17,151.76190476190476,473.74603174603175,April 18
Chisamba,2007,312.95238095238096,November 08,150.38095238095238,463.33333333333337,April 07
Chisamba,2008,322.3174603174603,November 18,157.7301587301587,480.04761904761904,April 24
Chisamba,2009,313.85714285714283,November 09,161.57142857142858,475.42857142857144,April 20
Chisamba,2010,327.7936507936508,November 23,151.06349206349208,478.8571428571429,April 23
Chisamba,2011,343.984126984127,December 09,117.65079365079364,461.6349206349206,April 05
Chisamba,2012,308.7936507936508,November 04,175.82539682539684,484.6190476190476,April 28
Chisamba,2013,313.5079365079365,November 09,151.79365079365078,465.3015873015873,April 10
Chisamba,2014,325.23809523809524,November 21,148.984126984127,474.22222222222223,April 19
Chisamba,2015,323.0,November 19,147.0,470.0,April 14
Chisamba,2016,327.6825396825397,November 23,152.7301587301587,480.41269841269843,April 24
Chisamba,2017,330.25396825396825,November 26,151.76190476190476,482.015873015873,April 27
Chisamba,2018,332.5079365079365,November 28,168.17460317460316,500.68253968253964,May 15
Chisamba,2019,217.7301587301588,August 05,127.07936507936508,344.80952380952385,December 10
