,district,year,population,pop_growth
1719,Nkeyema,2014,44014.80078125,-0.030652948503032795
1834,Nkeyema,2015,46024.453125,0.0456585582140383
1949,Nkeyema,2016,44795.953125,-0.02669233237086943
2064,Nkeyema,2017,45410.375,0.01371601299084979
2179,Nkeyema,2018,45882.91796875,0.010406057398777202
2294,Nkeyema,2019,46767.23828125,0.01927341049020237
2409,Nkeyema,2020,46206.27734375,-0.01199474157799263
84,Nsama,2000,48848.53515625,
199,Nsama,2001,49065.75,0.004446701278865373
314,Nsama,2002,49371.203125,0.006225383796232498
429,Nsama,2003,50385.47265625,0.020543747509697674
544,Nsama,2004,50932.80078125,0.010862816128253794
659,Nsama,2005,51606.53125,0.0132278307576994
774,Nsama,2006,52692.87109375,0.021050433296657678
889,Nsama,2007,53539.99609375,0.016076652921280576
1004,Nsama,2008,54068.05859375,0.009862953651982975
1119,Nsama,2009,54733.34765625,0.012304659715984378
1234,Nsama,2010,55383.28515625,0.011874616259211823
1349,Nsama,2011,55673.26953125,0.0052359547502802695
1464,Nsama,2012,57207.40625,0.027556073707668105
1579,Nsama,2013,58892.74609375,0.029460168782778906
1694,Nsama,2014,59783.09375,0.015118120911405297
1809,Nsama,2015,60281.26953125,0.00833305454771649
1924,Nsama,2016,60983.1875,0.011644047549232983
2039,Nsama,2017,61579.03125,0.009770623255794808
2154,Nsama,2018,62476.86328125,0.014580158424463585
2269,Nsama,2019,62784.86328125,0.004929824959577278
2384,Nsama,2020,63660.28515625,0.013943199510978888
30,Nyimba,2000,68509.8984375,
145,Nyimba,2001,70436.6484375,0.028123673278507733
260,Nyimba,2002,72366.078125,0.027392411909150205
375,Nyimba,2003,72946.25,0.008017180010748248
490,Nyimba,2004,73947.5546875,0.013726609489864039
605,Nyimba,2005,75788.9140625,0.024900882561722737
720,Nyimba,2006,76784.4453125,0.013135578762601519
835,Nyimba,2007,78368.0,0.020623378616009935
950,Nyimba,2008,79521.3125,0.014716625408329964
1065,Nyimba,2009,81194.4609375,0.021040251787846076
1180,Nyimba,2010,82704.3125,0.018595499558303752
1295,Nyimba,2011,84249.3359375,0.018681292314714604
1410,Nyimba,2012,85435.0234375,0.01407355306491187
1525,Nyimba,2013,87527.234375,0.024488913952608105
1640,Nyimba,2014,88870.125,0.015342546061109852
1755,Nyimba,2015,90390.9765625,0.017113192566118318
1870,Nyimba,2016,91928.9140625,0.017014281275483434
1985,Nyimba,2017,94318.234375,0.02599095547757213
2100,Nyimba,2018,95265.6875,0.010045280547057445
2215,Nyimba,2019,96563.75,0.01362570862672885
2330,Nyimba,2020,98668.09375,0.021792274533662948
95,Pemba,2000,55745.0234375,
210,Pemba,2001,55447.140625,-0.005343666467984898
325,Pemba,2002,55855.9375,0.0073727314049389925
440,Pemba,2003,55308.8203125,-0.009795148232898288
555,Pemba,2004,54986.69921875,-0.005824045639194364
670,Pemba,2005,54282.1171875,-0.012813681149454137
785,Pemba,2006,53887.34375,-0.0072726241707997685
900,Pemba,2007,53600.5625,-0.0053218665097034545
1015,Pemba,2008,53262.265625,-0.006311442627117914
1130,Pemba,2009,52859.34765625,-0.007564792147348731
1245,Pemba,2010,51596.77734375,-0.023885469051011188
1360,Pemba,2011,51681.6796875,0.0016454970275441294
1475,Pemba,2012,52055.97265625,0.007242275619004923
1590,Pemba,2013,51670.91015625,-0.007397085874136788
1705,Pemba,2014,49717.33203125,-0.03780808426041826
1820,Pemba,2015,50179.48046875,0.009295519663233609
