district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
Samfya,2002,0.6764876296122869,0.6714497804641724,6,Luapula,November 10,May 14
Samfya,2003,0.8555561363697052,0.8977917432785034,5,Luapula,November 10,May 14
Samfya,2004,0.5120219383388758,0.5037922859191895,7,Luapula,November 10,May 14
Samfya,2005,-0.47186020016670227,-0.4047887027263641,5,Luapula,November 10,May 14
Samfya,2006,-0.008879761211574055,-0.0421481439843773,6,Luapula,November 10,May 14
Samfya,2007,0.39393538343054907,0.2709756195545196,7,Luapula,November 10,May 14
Samfya,2008,0.2664523472388585,0.34204910695552826,6,Luapula,November 10,May 14
Samfya,2009,1.6321571384157454,1.61668860912323,7,Luapula,November 10,May 14
Samfya,2010,0.7383929441372553,0.6071656346321106,6,Luapula,November 10,May 14
Samfya,2011,0.8955014705657959,0.8531101942062378,5,Luapula,November 10,May 14
Samfya,2012,0.7976017211164746,0.8749992847442627,7,Luapula,November 10,May 14
Samfya,2013,0.1700531536092361,0.18125508725643155,6,Luapula,November 10,May 14
Samfya,2014,-0.5222940146923065,-0.4370368421077728,5,Luapula,November 10,May 14
Samfya,2015,-1.1297577023506165,-1.2391781210899353,6,Luapula,November 10,May 14
Samfya,2016,-1.2606585025787354,-1.2313316464424133,6,Luapula,November 10,May 14
Samfya,2017,-0.9199084440867106,-0.9239403903484344,6,Luapula,November 10,May 14
Samfya,2018,0.15243447308118144,0.1606222540140152,6,Luapula,November 10,May 14
Samfya,2019,0.2687745525812109,0.3541051000356674,6,Luapula,November 10,May 14
Samfya,2020,1.1823523044586182,1.1658596992492676,6,Luapula,November 10,May 14
Samfya,2021,0.5755425930023194,0.5730413794517517,5,Luapula,November 10,May 14
Senanga,2000,-0.12753509512792036,-0.06786756124347446,6,Western,November 07,April 13
Senanga,2001,0.15851013921201226,0.08660230785608285,6,Western,November 07,April 13
Senanga,2002,-0.27545813452452417,-0.3269411921501159,5,Western,November 07,April 13
Senanga,2003,0.2802438534796238,0.2911775112152099,5,Western,November 07,April 13
Senanga,2004,-0.07700706124305724,-0.2885519862174988,5,Western,November 07,April 13
Senanga,2005,-0.3219980497728102,-0.4034366905689239,5,Western,November 07,April 13
Senanga,2006,0.7627563238143921,0.7930792570114136,5,Western,November 07,April 13
Senanga,2007,1.0970059633255005,1.046518862247467,6,Western,November 07,April 13
Senanga,2008,1.5528905193010967,1.593282401561737,6,Western,November 07,April 13
Senanga,2009,1.8283615708351135,1.8112078309059143,6,Western,November 07,April 13
Senanga,2010,1.9120392799377441,1.8824855089187622,6,Western,November 07,April 13
Senanga,2011,1.6752773225307465,1.597530722618103,4,Western,November 07,April 13
Senanga,2012,1.3920938968658447,1.4494355916976929,4,Western,November 07,April 13
Senanga,2013,1.0575896978378296,1.0367931127548218,5,Western,November 07,April 13
Senanga,2014,0.12364520815511544,0.17088284157216543,6,Western,November 07,April 13
Senanga,2015,-0.8201300874352455,-0.9359385371208192,4,Western,November 07,April 13
Senanga,2016,-0.2321692168712616,-0.3135620653629303,5,Western,November 07,April 13
Senanga,2017,0.21143012046813964,0.2121988385915756,5,Western,November 07,April 13
Senanga,2018,-0.2066648930311203,-0.2589207589626312,5,Western,November 07,April 13
Senanga,2019,-0.41949039449294406,-0.41213081777095795,6,Western,November 07,April 13
Senanga,2020,-0.546799216978252,-0.4761925339698791,5,Western,November 07,April 13
Senanga,2021,-1.164342713356018,-1.1556812524795532,5,Western,November 07,April 13
Senga Hill,2000,0.5536787149806818,0.6188369393348694,6,Northern,November 13,May 15
Senga Hill,2001,-0.7359486619631449,-0.7728582471609116,6,Northern,November 13,May 15
Senga Hill,2002,-0.9024392167727152,-0.7436246275901794,6,Northern,November 13,May 15
Senga Hill,2003,-0.528163605928421,-0.5328241586685181,5,Northern,November 13,May 15
Senga Hill,2004,-0.5781667356689771,-0.6483598351478577,6,Northern,November 13,May 15
Senga Hill,2005,-1.2091323614120484,-1.1395678520202637,5,Northern,November 13,May 15
Senga Hill,2006,-0.11106592364376411,-0.14033053605817258,8,Northern,November 13,May 15
Senga Hill,2007,0.07840857654809952,0.1833090931177139,6,Northern,November 13,May 15
Senga Hill,2008,-0.6376456873757499,-0.6403493285179138,7,Northern,November 13,May 15
Senga Hill,2009,0.3961076498962939,0.4253280460834503,6,Northern,November 13,May 15
Senga Hill,2010,-1.473352861404419,-1.4145264625549316,5,Northern,November 13,May 15
Senga Hill,2011,-1.1759665807088215,-1.1783340573310852,6,Northern,November 13,May 15
Senga Hill,2012,-1.1869133313496907,-1.2278929948806763,6,Northern,November 13,May 15
Senga Hill,2013,-0.9344054957230886,-0.8442471325397491,6,Northern,November 13,May 15
Senga Hill,2014,-0.374791257083416,-0.3639879822731018,5,Northern,November 13,May 15
Senga Hill,2015,-0.14002784341573712,-0.10637361183762545,6,Northern,November 13,May 15
Senga Hill,2016,-0.7658010423183441,-0.7009712755680084,6,Northern,November 13,May 15
Senga Hill,2017,-1.035075557231903,-1.0472216606140137,5,Northern,November 13,May 15
Senga Hill,2018,-0.5053589046001434,-0.5468248426914215,6,Northern,November 13,May 15
Senga Hill,2019,0.10044676313797633,0.1499737948179245,6,Northern,November 13,May 15
Senga Hill,2020,0.9706356426080068,1.0084070563316345,6,Northern,November 13,May 15
Senga Hill,2021,0.8406291178660468,1.17680823802948,5,Northern,November 13,May 15
Serenje,2000,1.1528228322664897,1.1213626265525818,6,Central,November 18,April 22
Serenje,2001,0.530344408750534,0.5593445301055908,5,Central,November 18,April 22
Serenje,2002,0.5548623740673065,0.4880965948104858,5,Central,November 18,April 22
Serenje,2003,0.5752892017364502,0.5749780535697937,5,Central,November 18,April 22
Serenje,2004,-0.04808556785186132,-0.21887665241956716,6,Central,November 18,April 22
Serenje,2005,-0.3693031892180443,-0.43410962074995035,4,Central,November 18,April 22
Serenje,2006,0.5933236986398697,0.6332007050514221,5,Central,November 18,April 22
Serenje,2007,1.081710507472356,1.0970303416252136,6,Central,November 18,April 22
Serenje,2008,1.0489958822727203,0.9389631152153015,6,Central,November 18,April 22
Serenje,2009,2.0131307329450334,2.076088190078736,7,Central,November 18,April 22
Serenje,2010,1.7711366653442382,1.5122743844985962,5,Central,November 18,April 22
Serenje,2011,1.2885386645793915,1.3158767223358154,4,Central,November 18,April 22
Serenje,2012,1.0751138826211293,1.0764068365097046,6,Central,November 18,April 22
Serenje,2013,-0.059614727894465126,-0.02962955832481387,6,Central,November 18,April 22
Serenje,2014,-1.1855936765670776,-1.1976176500320437,5,Central,November 18,April 22
