,district,year,spei,mean_growing_period
844,Kasempa,2008,0.19963416458333336,162.7811320754717
845,Kasempa,2009,1.3967314583333332,185.65283018867925
846,Kasempa,2010,1.8007155833333333,167.26037735849056
847,Kasempa,2011,1.8332976499999998,140.34716981132075
848,Kasempa,2012,1.634578125,183.33962264150944
849,Kasempa,2013,1.2933595416666666,187.1433962264151
850,Kasempa,2014,0.6073854249166667,167.15471698113208
851,Kasempa,2015,-0.43726803833333333,154.3622641509434
852,Kasempa,2016,-0.5791382308333334,166.69056603773586
853,Kasempa,2017,-0.20066639383333332,161.47169811320754
854,Kasempa,2018,0.31410297416666666,181.3924528301887
855,Kasempa,2019,0.301138375,147.88679245283018
856,Kasempa,2020,0.048023448833333336,163.7056603773585
857,Kasempa,2021,0.08451352633333332,161.2377358490566
858,Kasenengwa,2000,-0.04899872283333334,186.45454545454547
859,Kasenengwa,2001,0.12417025808333333,155.27272727272728
860,Kasenengwa,2002,-0.13985117624166668,161.36363636363637
861,Kasenengwa,2003,-0.028047073833333335,152.72727272727272
862,Kasenengwa,2004,0.3453032116666666,177.0909090909091
863,Kasenengwa,2005,-0.21901340083333334,130.86363636363637
864,Kasenengwa,2006,-0.04832109095833333,179.4090909090909
865,Kasenengwa,2007,0.8248309975,142.0
866,Kasenengwa,2008,0.9388919291666666,151.4090909090909
867,Kasenengwa,2009,1.0486383535416666,174.0909090909091
868,Kasenengwa,2010,2.1577717333333335,159.1818181818182
869,Kasenengwa,2011,1.2664801333333333,127.45454545454544
870,Kasenengwa,2012,1.4135477208333331,178.13636363636363
871,Kasenengwa,2013,1.06926579,148.45454545454547
872,Kasenengwa,2014,-0.41465993333333334,162.36363636363637
873,Kasenengwa,2015,-1.203559125,159.0909090909091
874,Kasenengwa,2016,-1.8466384833333331,161.0909090909091
875,Kasenengwa,2017,-1.5187404416666668,161.5
876,Kasenengwa,2018,-1.1652660583333334,167.86363636363637
877,Kasenengwa,2019,-0.39178597499999995,152.1818181818182
878,Kasenengwa,2020,0.021885027825,163.77272727272728
879,Kasenengwa,2021,0.38500571999999994,141.8181818181818
880,Katete,2000,0.6476714466666667,189.6
881,Katete,2001,0.7687999608333334,163.1
882,Katete,2002,0.37714648,165.4
883,Katete,2003,0.17200402166666665,153.7
884,Katete,2004,0.16218812641666666,191.06666666666663
885,Katete,2005,-0.5937101469166667,129.4
886,Katete,2006,-0.39091521700000004,186.9
887,Katete,2007,0.330713965,144.3
888,Katete,2008,0.6175364025,162.3
889,Katete,2009,0.9280151783333332,175.13333333333333
890,Katete,2010,2.0478908083333334,160.36666666666667
891,Katete,2011,1.6253692,126.43333333333334
892,Katete,2012,1.5901536666666667,179.76666666666668
893,Katete,2013,1.1091942916666666,149.3
894,Katete,2014,-0.39054915166666665,164.73333333333332
895,Katete,2015,-1.0734902041666665,162.06666666666666
896,Katete,2016,-1.7486917,162.76666666666668
897,Katete,2017,-1.0253355058333333,163.1
898,Katete,2018,-0.7212600275000001,169.8
899,Katete,2019,-0.19734856314166668,152.6
900,Katete,2020,0.23824130155833334,169.6
901,Katete,2021,-0.07272223033333335,144.06666666666666
902,Kawambwa,2000,-0.27663343275,191.5212765957447
903,Kawambwa,2001,0.5577282825,192.30851063829783
904,Kawambwa,2002,0.3503145441666667,192.06382978723408
905,Kawambwa,2003,-0.33724198333333333,187.04255319148936
906,Kawambwa,2004,-0.08386140824999999,207.2659574468085
907,Kawambwa,2005,0.03375316775,193.3510638297872
908,Kawambwa,2006,-0.7402229349999999,216.58510638297872
909,Kawambwa,2007,0.5913993141666667,212.53191489361703
910,Kawambwa,2008,0.5375027291666666,204.9468085106383
911,Kawambwa,2009,-0.18208598166666667,193.87234042553192
912,Kawambwa,2010,-0.1949740533333333,200.59574468085103
913,Kawambwa,2011,-1.3312648916666667,160.7872340425532
914,Kawambwa,2012,-1.4235281750000002,216.6382978723404
915,Kawambwa,2013,-0.78630969,198.80851063829783
916,Kawambwa,2014,0.3292238063333333,167.09574468085106
917,Kawambwa,2015,-0.04497195516666667,181.24468085106383
