district,year,mean_growing_period
Chiengi,2011,195.5
Chifunabuli,2011,152.45945945945945
Chipili,2011,158.18867924528303
Kawambwa,2011,160.7872340425532
Lunga,2011,146.7674418604651
Mansa,2011,152.7173913043478
Milengi,2011,149.62666666666667
Mwansabombwe,2011,158.75
Mwense,2011,155.84615384615384
Nchelenge,2011,163.55102040816325
Samfya,2011,148.05
Chilanga,2011,110.52941176470588
Chirundu,2011,103.5909090909091
Chongwe,2011,110.57142857142857
Kafue,2011,107.19298245614036
Luangwa,2011,107.66666666666667
Lusaka,2011,111.25
Rufunsa,2011,111.44347826086957
Shibuyunji,2011,115.25
Chama,2011,143.92924528301887
Chinsali,2011,146.52564102564102
Isoka,2011,158.6451612903226
Kanchibiya,2011,143.0097087378641
Lavushimanda,2011,138.88439306358381
Mafinga,2011,164.29787234042553
Mpika,2011,140.75728155339806
Nakonde,2011,164.11764705882354
Shiwamg'andu,2011,144.4678899082569
Chavuma,2011,204.88888888888889
Ikelenge,2011,215.58333333333334
Kabompo,2011,201.91764705882352
Kalumbila,2011,199.57324840764332
Kasempa,2011,140.34716981132075
Manyinga,2011,206.63440860215053
Mufumbwe,2011,147.8251121076233
Mushindano,2011,155.82456140350877
Mwinilunga,2011,213.7239819004525
Solwezi,2011,156.9387755102041
Zambezi,2011,197.74556213017752
Chilubi,2011,148.96774193548387
Kaputa,2011,166.16129032258064
Kasama,2011,149.984375
Lunte District,2011,162.9578947368421
Lupososhi,2011,156.84782608695653
Luwingu,2011,153.9298245614035
Mbala,2011,166.31578947368422
Mporokoso,2011,163.9787234042553
Mpulungu,2011,163.71544715447155
Mungwi,2011,150.2521739130435
Nsama,2011,162.71428571428572
Senga Hill,2011,160.0344827586207
Chikankanta,2011,108.30555555555556
Choma,2011,115.05084745762711
Gwembe,2011,108.83333333333333
Kalomo,2011,109.11
Kazungula,2011,90.87053571428571
Livingstone,2011,54.111111111111114
Mazabuka,2011,113.80434782608695
Monze,2011,114.56666666666666
Namwala,2011,114.06060606060606
Pemba,2011,117.56
Siavonga,2011,106.56521739130434
Sinazongwe,2011,99.31147540983606
Zimba,2011,93.77611940298507
Kalabo,2011,122.40677966101696
Kaoma,2011,132.6909090909091
Limulunga,2011,122.63636363636364
Luampa,2011,110.91269841269842
Lukulu,2011,146.95726495726495
Mitete,2011,156.1578947368421
Mongu,2011,108.57333333333334
Mulobezi,2011,104.04666666666667
Mwandi,2011,81.31168831168831
Nalolo,2011,106.83050847457628
Nkeyema,2011,124.26666666666667
Senanga,2011,105.08396946564885
Sesheke,2011,83.18705035971223
Shang'ombo,2011,105.6701030927835
Sikongo,2011,111.6195652173913
Sioma,2011,101.88
Chibombo,2012,174.8090909090909
Chisamba,2012,175.82539682539684
Chitambo,2012,178.2605633802817
Itezhi-tezhi,2012,162.96464646464648
Kabwe,2012,175.44444444444446
Kapiri Mposhi,2012,176.6697247706422
Luano,2012,172.33333333333334
Mkushi,2012,178.62
Mumbwa,2012,173.47679324894514
Ngabwe,2012,176.025
Serenje,2012,178.66666666666666
Chililabombwe,2012,178.8125
Chingola,2012,179.0952380952381
Kalulushi,2012,178.91666666666666
Kitwe,2012,178.86666666666667
Luanshya,2012,179.77777777777777
Lufwanyama,2012,178.84496124031008
Masaiti,2012,179.70454545454547
Mpongwe,2012,178.94642857142858
Mufulira,2012,179.125
Ndola,2012,179.6153846153846
Chadiza,2012,182.1875
Chasefu,2012,180.03846153846155
Chipangali,2012,175.38709677419354
Chipata,2012,180.85
Kasenengwa,2012,178.13636363636363
Katete,2012,179.76666666666668
Lumezi,2012,178.12295081967213
Lundazi,2012,183.35294117647058
Mambwe,2012,175.0
Nyimba,2012,173.5275590551181
Petauke,2012,177.63636363636363
Sinda,2012,179.24242424242425
Vubwi,2012,182.8181818181818
Chembe,2012,181.95833333333334
Chiengi,2012,224.34782608695653
Chifunabuli,2012,197.21621621621622
Chipili,2012,198.96226415094338
Kawambwa,2012,216.63829787234042
Lunga,2012,192.51162790697674
Mansa,2012,188.7173913043478
Milengi,2012,188.45333333333335
Mwansabombwe,2012,217.125
Mwense,2012,195.15384615384616
Nchelenge,2012,222.0408163265306
Samfya,2012,194.05
Chilanga,2012,175.41176470588235
Chirundu,2012,141.0909090909091
Chongwe,2012,170.5
Kafue,2012,156.31578947368422
Luangwa,2012,144.64583333333334
Lusaka,2012,178.0
Rufunsa,2012,150.55652173913043
Shibuyunji,2012,174.0
Chama,2012,179.0754716981132
Chinsali,2012,190.78205128205127
Isoka,2012,194.53225806451613
Kanchibiya,2012,179.38834951456312
Lavushimanda,2012,179.13294797687863
Mafinga,2012,199.4468085106383
Mpika,2012,177.28155339805826
Nakonde,2012,197.13725490196077
Shiwamg'andu,2012,189.52293577981652
Chavuma,2012,189.40740740740742
Ikelenge,2012,216.25
Kabompo,2012,169.12941176470588
Kalumbila,2012,196.94267515923568
Kasempa,2012,183.33962264150944
Manyinga,2012,182.30107526881721
Mufumbwe,2012,174.17040358744396
Mushindano,2012,188.68421052631578
Mwinilunga,2012,206.57013574660633
Solwezi,2012,196.21768707482994
Zambezi,2012,180.55029585798817
Chilubi,2012,192.38709677419354
Kaputa,2012,222.6290322580645
Kasama,2012,195.421875
Lunte District,2012,204.23157894736843
Lupososhi,2012,198.8913043478261
Luwingu,2012,196.5438596491228
Mbala,2012,194.1578947368421
Mporokoso,2012,222.10638297872342
Mpulungu,2012,195.22764227642276
Mungwi,2012,194.41739130434783
Nsama,2012,212.67032967032966
Senga Hill,2012,193.4655172413793
Chikankanta,2012,151.08333333333334
Choma,2012,152.4915254237288
Gwembe,2012,133.52083333333334
Kalomo,2012,160.73
Kazungula,2012,141.39285714285714
Livingstone,2012,127.55555555555556
Mazabuka,2012,164.56521739130434
Monze,2012,158.91666666666666
Namwala,2012,168.1818181818182
Pemba,2012,137.08
Siavonga,2012,139.82608695652175
Sinazongwe,2012,130.49180327868854
Zimba,2012,137.0597014925373
Kalabo,2012,156.77118644067798
Kaoma,2012,168.5
Limulunga,2012,162.5681818181818
Luampa,2012,168.0952380952381
Lukulu,2012,166.5042735042735
Mitete,2012,169.76315789473685
Mongu,2012,148.38666666666666
Mulobezi,2012,140.39333333333335
Mwandi,2012,121.6103896103896
Nalolo,2012,137.01694915254237
Nkeyema,2012,171.46666666666667
Senanga,2012,133.05343511450383
Sesheke,2012,117.18705035971223
Shang'ombo,2012,127.31958762886597
